year,male_apps,male_vaca,female_apps,female_vaca,total_vacancies
1906,,10159.0,,9133.0,19292
1907,12639.0,11985.0,8451.0,13494.0,25479
1908,12023.0,7719.0,10350.0,14000.0,21719
1909,14993.0,10077.0,11036.0,15662.0,25739
1910,17791.0,10248.0,12897.0,16251.0,26499
1911,20000.0,11120.0,15733.0,18225.0,29345
1912,24724.0,15467.0,19959.0,22238.0,37705
1913,23968.0,16115.0,19935.0,23430.0,39545
1914,32017.0,15389.0,23241.0,22916.0,38305
1915,42832.0,21163.0,32772.0,24649.0,45812
1916,31126.0,27541.0,26061.0,28739.0,56280
1917,32304.0,27427.0,28173.0,29569.0,56996
1918,33226.0,22088.0,28128.0,31718.0,53806
1919,31275.0,19193.0,29071.0,35104.0,54297
1920,29066.0,16970.0,32019.0,35522.0,52492
1921,95790.0,15859.0,38698.0,34114.0,49973
1922,102023.0,21176.0,41337.0,34149.0,55325
1923,59075.0,25640.0,42561.0,36251.0,61891
1924,52075.0,23320.0,47795.0,39925.0,63245
1925,45922.0,19186.0,46365.0,37368.0,56554
1926,46209.0,19841.0,47128.0,39127.0,58968
1927,49754.0,18475.0,48025.0,39179.0,57654
1928,55332.0,19628.0,45615.0,37162.0,56790
1929,57882.0,26738.0,48809.0,44961.0,71699
1930,59942.0,25622.0,54212.0,51219.0,76841
1931,89306.0,39704.0,54908.0,47907.0,87611
1932,147807.0,23751.0,57449.0,37702.0,61453
1933,218739.0,25446.0,61981.0,32416.0,57862
1934,202072.0,37587.0,59182.0,38041.0,75628
1935,149654.0,39503.0,59281.0,48037.0,87540
1936,124552.0,44009.0,62987.0,54727.0,98736
1937,115828.0,64138.0,67307.0,64187.0,128325
1938,96693.0,46171.0,69443.0,67235.0,113406
1939,89344.0,46852.0,69185.0,68069.0,114921
1940,111423.0,52554.0,76508.0,59983.0,112537
1941,148836.0,60522.0,87136.0,68483.0,129005
1942,127302.0,63790.0,90366.0,84990.0,148780
1943,129435.0,61300.0,90558.0,98161.0,159461
1944,140210.0,73223.0,92454.0,104568.0,177791
1945,178460.0,79828.0,114537.0,132247.0,212075
1946,167655.0,107967.0,111322.0,135318.0,243285
1947,174881.0,133125.0,106231.0,141453.0,274578
1948,179171.0,123189.0,107329.0,133865.0,257054
1949,177184.0,108775.0,116901.0,131955.0,240730
1950,183764.0,142714.0,122095.0,134237.0,276951
1951,196503.0,170305.0,117401.0,122633.0,292938
1952,179947.0,125170.0,110757.0,112366.0,237536
1953,185877.0,113742.0,106747.0,105398.0,219140
1954,178665.0,138154.0,95584.0,101573.0,239727
1955,179602.0,147989.0,86932.0,99922.0,247911
1956,171949.0,134805.0,84532.0,90647.0,225452
1957,158369.0,106966.0,87179.0,84998.0,191964
1958,182910.0,108199.0,95734.0,79321.0,187520
1959,183657.0,118310.0,94210.0,81565.0,199875
1960,178991.0,149673.0,90884.0,88289.0,237962
1961,160765.0,134101.0,84869.0,88745.0,222846
1962,173694.0,136579.0,88355.0,83440.0,220019
1963,,,,,238170
1964,,,,,231187
1965,,,,,229075
1966,,,,,200977
