year,circulation
1865,4250
1866,6063
1882,12500
1887,6341
1888,6319
1900,20000
1905,22000
1909,52000
1910,38000
1911,39356
1912,47199
1913,54918
1914,76325
1915,70902
1916,77293
1917,82125
1918,85615
1919,75461
1920,78322
1921,76091
1922,76965
1923,77934
1925,87000
1927,93881
1928,115000
1929,115000
1930,118000
1931,97695
1932,106459
1933,120000
1935,100000
1940,144200
1943,144340
1944,159893
1945,177364
1946,206733
1947,222043
1948,232858
1949,244640
1950,301459
1951,257357
1952,263242
1954,265500
1955,270700
1956,277300
1957,289700
1958,302200
1959,312100
1960,314300
1961,317700
1962,325800
1963,333000
1964,353600
1965,353600
1966,363100
1967,418600
1968,420300
1969,425900
1970,436900
1971,441000
1972,441400
1973,443500
1974,451900
1975,452100
1976,443900
1977,431100
1978,405200
1979,408100
1980,403700
1981,401100
1982,390278
1983,386865
1984,388242
1985,400323
1986,404095
1987,406726
1988,412773
1989,414969
1990,407126
1991,393829
1992,389904
1993,383500
1994,379700
1995,381800
1996,361600
1997,357700
1998,361300
1999,360800
2000,369200
2001,369200
2002,364200
2003,362500
2004,363400
2005,363100
2006,347100
2007,334200
2008,335600
2009,310900
2010,292300
2011,330700
2013,282800
2014,226500
2015,270000
2016,300000
2018,300000
2019,165000
2020,520000
2021,544000
2022,531000
2023,457000
2024,476000
