year,pages_min,pages_max
1864,4,8
1865,4,8
1866,4,8
1867,4,8
1868,4,8
1869,4,8
1870,4,8
1871,4,8
1872,4,8
1873,4,8
1874,4,8
1875,4,8
1876,4,8
1877,4,8
1878,4,8
1879,4,8
1880,4,8
1881,4,8
1882,4,8
1883,4,8
1884,4,8
1885,4,8
1886,4,8
1887,4,8
1888,4,8
1889,4,8
1890,4,8
1891,4,8
1892,4,8
1893,4,8
1894,4,8
1895,4,8
1896,4,8
1897,4,8
1898,4,8
1899,4,8
1900,4,8
1901,4,8
1902,4,8
1903,4,8
1904,4,8
1905,4,8
1906,4,8
1907,4,8
1908,4,8
1909,4,8
1910,12,16
1911,12,14
1912,14,16
1913,16,16
1914,16,16
1915,12,16
1916,16,16
1920,20,22
1921,16,18
1922,16,18
1923,18,22
1924,20,24
1925,20,26
1926,20,26
1927,20,26
1928,22,28
1929,22,28
1930,26,30
1931,26,30
1932,22,26
1933,24,26
1934,22,28
1935,24,30
1936,24,32
1937,28,32
1938,28,32
1939,30,34
1940,22,28
1941,24,28
1942,22,26
1943,26,30
1944,28,32
1945,30,32
1946,32,36
1947,32,38
1948,20,30
1949,24,30
1950,26,32
1951,22,32
1952,22,30
1953,26,34
1954,26,36
1955,28,40
1956,28,38
1957,30,36
1958,32,40
1960,36,48
1965,38,52
1970,48,62
1975,38,64
1980,44,60
1985,42,72
1990,68,104
1994,48,72
1996,64,92
1997,50,74
1998,50,64
1999,44,58
2000,46,58
2001,40,58
2002,42,54
2003,66,86
2004,64,86
2005,76,100
2006,76,96
2007,68,94
2008,64,100
2009,60,96
2010,60,96
2011,60,104
2012,60,100
2013,60,88
2014,52,100
2015,52,104
2016,48,102
2017,48,112
2018,48,108
2019,48,104
2020,48,96
2021,40,88
2022,40,92
2023,36,96
2024,40,84
2025,36,84
