year,count,relative,gender
1865,285,0.23553719008264462,both
1866,276,0.2222222222222222,both
1867,326,0.26721311475409837,both
1868,437,0.3535598705501618,both
1869,711,0.5752427184466019,both
1870,829,0.665863453815261,both
1871,728,0.5852090032154341,both
1872,832,0.6613672496025437,both
1873,1122,0.8918918918918919,both
1874,1426,1.1281645569620253,both
1875,1435,1.1352848101265822,both
1876,1694,1.276563677467973,both
1877,1848,1.3548387096774195,both
1878,2168,1.4169934640522874,both
1879,1902,1.5023696682464456,both
1880,2395,1.7740740740740741,both
1881,2335,1.6501766784452296,both
1882,2717,1.9351851851851851,both
1883,3294,2.313202247191011,both
1884,3458,2.391424619640387,both
1885,3780,2.5183211192538306,both
1886,3952,2.6206896551724137,both
1887,3885,2.6108870967741935,both
1888,3974,2.6599732262382862,both
1889,4152,2.710182767624021,both
1890,4602,2.942455242966752,both
1891,4756,2.941249226963513,both
1892,4703,2.8060859188544156,both
1893,4746,2.7119999999999997,both
1894,4892,2.8708920187793425,both
1895,5407,3.158294392523364,both
1896,6116,3.49685534591195,both
1897,6712,3.5326315789473686,both
1898,6613,3.4841938883034773,both
1899,6941,3.351521004345727,both
1900,6246,3.0290979631425805,both
1901,6273,2.9464537341474872,both
1902,5123,2.351078476365305,both
1903,5215,2.3322898032200357,both
1904,5558,2.333333333333333,both
1905,4906,1.992688870836718,both
1906,5266,2.049027237354086,both
1907,5966,2.130714285714286,both
1908,5803,1.946662193894666,both
1909,5429,1.4423485653560042,both
1910,6073,1.257870753935377,both
1911,6165,1.2399436846339502,both
1912,6127,1.1275303643724697,both
1913,6488,1.183941605839416,both
1914,6141,1.1448545861297539,both
1915,5966,1.0788426763110308,both
1916,6781,1.1423517520215634,both
1917,5770,0.853802900266351,both
1918,6319,0.8294828038855342,both
1919,7750,1.1689291101055808,both
1920,7349,1.0569538328778945,both
1921,5393,0.8295646823565606,both
1922,5630,0.829160530191458,both
1923,4912,0.7164527421236873,both
1924,6187,0.7519445794846864,both
1925,5527,0.6732034104750304,both
1926,5678,0.6437641723356009,both
1927,5931,0.6301529961750956,both
1928,6402,0.6389859267391955,both
1929,6862,0.6815653555820421,both
1930,7584,0.7156067182487261,both
1931,7252,0.6682639144858091,both
1932,6459,0.6347287735849056,both
1933,5775,0.5662875073543833,both
1934,6416,0.6281574309770902,both
1935,7135,0.6561522898657347,both
1936,8216,0.7234941880943995,both
1937,9100,0.7895193475620336,both
1938,10380,0.8269598470363289,both
1939,10524,0.8561666124308493,both
1940,8068,0.7988118811881189,both
1941,7950,0.7962740384615384,both
1942,9718,1.0214420853479083,both
1943,11841,1.1116222305670296,both
1944,12703,1.0857264957264958,both
1945,13324,1.1153524192198225,both
1946,14463,1.1618733933161953,both
1947,13828,1.2395123700250985,both
1948,15220,1.6044697448872023,both
1949,13604,1.395568321707017,both
1950,14315,1.40205680705191,both
1951,13640,1.373338703181635,both
1952,13203,1.3240072202166064,both
1953,12889,1.2224013657056145,both
1954,13296,1.1565762004175364,both
1955,11860,1.015584860421305,both
1956,10770,0.9070237493683678,both
1957,9576,0.7800586510263929,both
1958,8613,0.6707943925233645,both
1959,8961,0.6813412408759124,both
1960,10413,0.7502161383285303,both
1961,9571,0.6712722682003086,both
1962,8332,0.5931937918268546,both
1963,8173,0.5382639620653319,both
1964,9274,0.573176761433869,both
1965,8642,0.5027926460321155,both
1966,7064,0.4233489152583004,both
1967,5137,0.3186724565756824,both
1968,5095,0.3031294621608758,both
1969,5860,0.32995495495495497,both
1970,5191,0.2931774539704055,both
1971,3726,0.24128998834347884,both
1972,3340,0.211687159335784,both
1973,3158,0.18688602201443957,both
1974,3739,0.2161271676300578,both
1975,3683,0.19936126447980945,both
1976,3179,0.17339369477473546,both
1977,2486,0.1461493239271017,both
1978,2161,0.12930828147438966,both
1979,2688,0.12284069097888675,both
1980,3145,0.10931905870902708,both
1981,2724,0.09709845298353176,both
1982,3061,0.10523963418826927,both
1983,3021,0.09432371674784563,both
1984,3662,0.10364542058190875,both
1985,3520,0.09424868801542251,both
1986,4025,0.11136627746112557,both
1987,4426,0.1108606352068931,both
1988,3987,0.14172472629034552,both
1989,3634,0.1216320246343341,both
1990,3162,0.10500099621438534,both
1991,2717,0.1106000162826671,both
1992,1963,0.08268744734625105,both
1993,2435,0.09835999353692035,both
1994,2344,0.08130701723958514,both
1995,2445,0.07483930211202938,both
1996,2330,0.07869494731153742,both
1997,2878,0.10109951874099835,both
1998,3243,0.1081,both
1999,3006,0.10182581890857356,both
2000,2921,0.09627554383651944,both
1865,39,0.032231404958677684,female
1866,52,0.04186795491143317,female
1867,33,0.027049180327868853,female
1868,96,0.07766990291262137,female
1869,155,0.12540453074433658,female
1870,172,0.13815261044176708,female
1871,147,0.11816720257234727,female
1872,164,0.13036565977742448,female
1873,184,0.14626391096979333,female
1874,269,0.21281645569620253,female
1875,304,0.24050632911392406,female
1876,346,0.2607385079125848,female
1877,293,0.21480938416422288,female
1878,339,0.22156862745098038,female
1879,308,0.24328593996840442,female
1880,445,0.32962962962962966,female
1881,534,0.3773851590106007,female
1882,621,0.44230769230769235,female
1883,714,0.5014044943820225,female
1884,850,0.5878284923928078,female
1885,874,0.5822784810126582,female
1886,1001,0.6637931034482758,female
1887,1072,0.7204301075268817,female
1888,1247,0.8346720214190093,female
1889,1334,0.870757180156658,female
1890,1503,0.960997442455243,female
1891,1885,1.16573902288188,female
1892,2032,1.2124105011933175,female
1893,2142,1.224,female
1894,2480,1.4553990610328638,female
1895,3152,1.8411214953271027,female
