year,pages
1864,4
1865,1210
1866,1242
1867,1220
1868,1236
1869,1236
1870,1245
1871,1244
1872,1258
1873,1258
1874,1264
1875,1264
1876,1327
1877,1364
1878,1530
1879,1266
1880,1350
1881,1415
1882,1404
1883,1424
1884,1446
1885,1501
1886,1508
1887,1488
1888,1494
1889,1532
1890,1564
1891,1617
1892,1676
1893,1750
1894,1704
1895,1712
1896,1749
1897,1900
1898,1898
1899,2071
1900,2062
1901,2129
1902,2179
1903,2236
1904,2382
1905,2462
1906,2570
1907,2800
1908,2981
1909,3764
1910,4828
1911,4972
1912,5434
1913,5480
1914,5364
1915,5530
1916,5936
1917,6758
1918,7618
1919,6630
1920,6953
1921,6501
1922,6790
1923,6856
1924,8228
1925,8210
1926,8820
1927,9412
1928,10019
1929,10068
1930,10598
1931,10852
1932,10176
1933,10198
1934,10214
1935,10874
1936,11356
1937,11526
1938,12552
1939,12292
1940,10100
1941,9984
1942,9514
1943,10652
1944,11700
1945,11946
1946,12448
1947,11156
1948,9486
1949,9748
1950,10210
1951,9932
1952,9972
1953,10544
1954,11496
1955,11678
1956,11874
1957,12276
1958,12840
1959,13152
1960,13880
1961,14258
1962,14046
1963,15184
1964,16180
1965,17188
1966,16686
1967,16120
1968,16808
1969,17760
1970,17706
1971,15442
1972,15778
1973,16898
1974,17300
1975,18474
1976,18334
1977,17010
1978,16712
1979,21882
1980,28769
1981,28054
1982,29086
1983,32028
1984,35332
1985,37348
1986,36142
1987,39924
1988,28132
1989,29877
1990,30114
1991,24566
1992,23740
1993,24756
1994,28829
1995,32670
1996,29608
1997,28467
1998,30000
1999,29521
2000,30340
