year,pages
1850,29484
1851,28997
1852,27621
1853,28559
1854,31592
1855,31837
1856,31982
1857,32550
1858,32731
1859,34779
1860,34429
1861,34208
1862,35396
1863,36168
1864,37519
1865,40271
1866,41030
1867,42404
1868,45700
1869,48309
1870,54709
1871,53122
1872,54557
1873,56315
1874,58854
1875,62034
1876,66593
1877,69826
1878,69834
1879,73426
1880,78049
1881,83215
1882,85611
1883,91940
1884,98672
1885,107038
1886,108469
1887,113950
1888,120099
1889,126294
1890,132804
1891,138325
1892,141033
1893,143276
1894,149150
1895,154614
1896,165820
1897,178338
1898,184939
1899,190405
1900,194331
1901,197864
1902,200957
1903,208233
1904,214753
1905,231929
1906,250550
1907,63388
1908,41615
1909,41948
1910,45175
1911,46356
1912,49840
1913,49026
1914,50152
1915,49658
1916,46238
1917,49026
1918,51295
1919,48352
1920,50691
1921,49000
1922,55201
1923,59320
1924,61080
1925,61777
1926,50745
1927,51168
1928,55634
1929,55918
1930,57413
1931,55614
1932,55666
1933,56758
1934,58058
1935,61006
1936,61479
1937,59594
1938,62297
1939,61902
1940,52879
1941,52271
1942,49694
1943,52930
1944,71251
1945,80458
1946,70808
1947,63961
1948,57988
1949,59211
1950,60691
1951,59779
1952,60612
1953,62116
1954,68414
1955,68863
1956,70351
1957,70256
1958,71090
1959,75043
1960,82683
1961,79893
1962,79955
1963,85211
1964,90400
1965,121406
1966,125328
1967,126833
1968,127488
1969,138792
1970,143077
1971,129986
1972,132920
1973,137196
1974,127936
1975,135335
1976,133813
1977,140090
1978,130934
1979,137662
1980,159137
1981,147070
1982,151937
1983,167587
1984,173420
1985,177725
1986,176770
1987,184583
1988,180675
1989,185289
1990,189265
1991,179608
1992,195898
1993,196373
1994,208523
1995,217850
1996,189452
1997,197284
1998,209262
1999,211760
2000,214933
